Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
21,Vinnytska,"167,988","167,988",,"10,584",-6%,-6% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Volynska,"57,742","50,001","7,741",,15%,15% more IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Zakarpatska,"145,825","145,825",,"3,961",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Zaporizka,"166,078","156,134","9,944",,6%,6% more IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Zhytomyrska,"67,562","67,562",,"1,390",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
22,Cherkaska,"135,291","135,291",,775,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Chernihivska,"70,901","70,901",,"1,441",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Chernivetska,"86,824","86,824",,"1,113",-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Dnipropetrovska,"376,307","372,279","4,028",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Donetska,"71,250","67,002","4,248",,6%,6% more IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Ivano-Frankivska,"134,174","134,174",,278,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Kharkivska,"475,472","467,154","8,318",,2%,2% more IDPs this round,7%,7% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Khersonska,"10,961","10,961",,,0%,no change from last round,0%,0% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Khmelnytska,"81,571","81,571",,"4,230",-5%,-5% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Kirovohradska,"92,705","92,705",,799,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Kyivska,"331,662","331,662",,"233,064",-41%,-41% fewer IDPs this round,5%,5% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Lvivska,"239,652","239,652",,"4,225",-2%,-2% fewer IDPs this round,4%,4% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Mykolaivska,"119,487","117,347","2,140",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Odeska,"145,565","143,213","2,352",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Poltavska,"192,104","192,104",,998,-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Rivnenska,"55,458","55,458",,"2,192",-4%,-4% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Sumska,"77,721","77,229",492,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Ternopilska,"77,674","77,674",,"1,193",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Vinnytska,"170,181","167,988","2,193",,1%,1% more IDPs this round,3%,3% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Volynska,"54,516","54,516",,"3,226",-6%,-6% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Zakarpatska,"143,795","143,795",,"2,030",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Zaporizka,"168,697","166,078","2,619",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
22,Zhytomyrska,"66,750","66,750",,812,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Mar 1 2023-Mar 31 2023
23,Cherkaska,"133,896","133,896",,"1,395",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Chernihivska,"70,425","70,425",,476,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Chernivetska,"86,126","86,126",,698,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Dnipropetrovska,"379,857","376,307","3,550",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Donetska,"74,582","71,250","3,332",,5%,5% more IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Ivano-Frankivska,"129,374","129,374",,"4,800",-4%,-4% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Kharkivska,"483,186","475,472","7,714",,2%,2% more IDPs this round,7%,7% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Khersonska,"10,961","10,961",,,0%,no change from last round,0%,0% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Khmelnytska,"80,202","80,202",,"1,369",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Kirovohradska,"92,156","92,156",,549,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Kyivska,"577,775","331,662","246,113",,74%,74% more IDPs this round,8%,8% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Lvivska,"237,062","237,062",,"2,590",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Mykolaivska,"119,395","119,395",,92,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Odeska,"147,328","145,565","1,763",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Poltavska,"190,776","190,776",,"1,328",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Rivnenska,"54,046","54,046",,"1,412",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Sumska,"79,235","77,721","1,514",,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Ternopilska,"76,753","76,753",,921,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Vinnytska,"168,123","168,123",,"2,058",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Volynska,"53,693","53,693",,823,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Zakarpatska,"142,198","142,198",,"1,597",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Zaporizka,"171,718","168,697","3,021",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
23,Zhytomyrska,"65,412","65,412",,"1,338",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Apr 1 2023-Apr 30 2023
24,Cherkaska,"133,717","133,717",,179,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Chernihivska,"71,255","70,425",830,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Chernivetska,"85,527","85,527",,599,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Dnipropetrovska,"383,112","379,857","3,255",,1%,1% more IDPs this round,6%,6% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Donetska,"78,438","74,582","3,856",,5%,5% more IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Ivano-Frankivska,"131,445","129,374","2,071",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Kharkivska,"491,409","483,186","8,223",,2%,2% more IDPs this round,7%,7% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Khersonska,"22,555","10,961","11,594",,106%,106% more IDPs this round,0%,0% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Khmelnytska,"79,153","79,153",,"1,049",-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Kirovohradska,"91,417","91,417",,739,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Kyivska,"332,216","332,216",,"245,559",-43%,-43% fewer IDPs this round,5%,5% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Lvivska,"235,973","235,973",,"1,089",0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Mykolaivska,"121,117","119,395","1,722",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Odeska,"150,425","147,328","3,097",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Poltavska,"189,358","189,358",,"1,418",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Rivnenska,"53,396","53,396",,650,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Sumska,"80,068","79,235",833,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Ternopilska,"75,784","75,784",,969,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Vinnytska,"166,724","166,724",,"1,399",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Volynska,"52,877","52,877",,816,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Zakarpatska,"141,170","141,170",,"1,028",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Zaporizka,"149,458","149,458",,"22,260",-13%,-13% fewer IDPs this round,2%,2% of total recorded IDPs this round,May 1 2023-May 31 2023
24,Zhytomyrska,"64,781","64,781",,631,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,May 1 2023-May 31 2023
25,Cherkaska,"132,933","132,933",,784,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Chernihivska,"71,295","71,255",40,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Chernivetska,"84,443","84,443",,"1,084",-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Dnipropetrovska,"386,553","383,112","3,441",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Donetska,"82,505","78,438","4,067",,5%,5% more IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Ivano-Frankivska,"130,160","130,160",,"1,285",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Kharkivska,"500,059","491,409","8,650",,2%,2% more IDPs this round,7%,7% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Khersonska,"25,943","22,555","3,388",,15%,15% more IDPs this round,0%,0% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Khmelnytska,"80,162","79,153","1,009",,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Kirovohradska,"91,089","91,089",,328,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Kyivska,"591,332","332,216","259,116",,78%,78% more IDPs this round,8%,8% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Lvivska,"234,945","234,945",,"1,028",0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Mykolaivska,"115,187","115,187",,"5,930",-5%,-5% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Odeska,"152,963","150,425","2,538",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Poltavska,"187,312","187,312",,"2,046",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Rivnenska,"52,707","52,707",,689,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Sumska,"81,115","80,068","1,047",,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Ternopilska,"74,788","74,788",,996,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Vinnytska,"165,007","165,007",,"1,717",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Volynska,"52,208","52,208",,669,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Zakarpatska,"140,160","140,160",,"1,010",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Zaporizka,"152,812","149,458","3,354",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
25,Zhytomyrska,"64,660","64,660",,121,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jun 1 2023-Jun 30 2023
26,Cherkaska,"132,260","132,260",,673,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Chernihivska,"70,758","70,758",,537,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Chernivetska,"84,218","84,218",,225,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Dnipropetrovska,"388,845","386,553","2,292",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Donetska,"86,252","82,505","3,747",,5%,5% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Ivano-Frankivska,"129,266","129,266",,894,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Kharkivska,"510,775","500,059","10,716",,2%,2% more IDPs this round,7%,7% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Khersonska,"26,752","25,943",809,,3%,3% more IDPs this round,0%,0% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Khmelnytska,"79,583","79,583",,579,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Kirovohradska,"90,826","90,826",,263,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Kyivska,"598,638","591,332","7,306",,1%,1% more IDPs this round,8%,8% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Lvivska,"233,933","233,933",,"1,012",0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Mykolaivska,"117,475","115,187","2,288",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Odeska,"155,674","152,963","2,711",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Poltavska,"186,042","186,042",,"1,270",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Rivnenska,"51,404","51,404",,"1,303",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Sumska,"83,154","81,115","2,039",,3%,3% more IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Ternopilska,"74,268","74,268",,520,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Vinnytska,"163,295","163,295",,"1,712",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Volynska,"51,818","51,818",,390,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Zakarpatska,"139,377","139,377",,783,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Zaporizka,"158,586","152,812","5,774",,4%,4% more IDPs this round,2%,2% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
26,Zhytomyrska,"64,402","64,402",,258,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jul 1 2023-Jul 31 2023
27,Cherkaska,"131,286","131,286",,974,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Chernihivska,"70,544","70,544",,214,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Chernivetska,"83,636","83,636",,582,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Dnipropetrovska,"390,420","388,845","1,575",,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Donetska,"89,873","86,252","3,621",,4%,4% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Ivano-Frankivska,"129,224","129,224",,42,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Kharkivska,"337,443","337,443",,"173,332",-34%,-34% fewer IDPs this round,5%,5% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Khersonska,"28,004","26,752","1,252",,5%,5% more IDPs this round,0%,0% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Khmelnytska,"79,211","79,211",,372,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Kirovohradska,"90,274","90,274",,552,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Kyivska,"606,143","598,638","7,505",,1%,1% more IDPs this round,9%,9% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Lvivska,"233,052","233,052",,881,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Mykolaivska,"118,496","117,475","1,021",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Odeska,"158,475","155,674","2,801",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Poltavska,"184,129","184,129",,"1,913",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Rivnenska,"51,690","51,404",286,,1%,1% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Sumska,"84,803","83,154","1,649",,2%,2% more IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Ternopilska,"73,674","73,674",,594,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Vinnytska,"162,156","162,156",,"1,139",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Volynska,"50,906","50,906",,912,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Zakarpatska,"138,512","138,512",,865,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Zaporizka,"161,381","158,586","2,795",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
27,Zhytomyrska,"63,433","63,433",,969,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Aug 1 2023-Aug 31 2023
28,Cherkaska,"130,280","130,280",,"1,006",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Chernihivska,"70,231","70,231",,313,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Chernivetska,"82,826","82,826",,810,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Dnipropetrovska,"390,307","390,307",,113,0%,0% fewer IDPs this round,6%,6% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Donetska,"93,007","89,873","3,134",,3%,3% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Ivano-Frankivska,"125,697","125,697",,"3,527",-3%,-3% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Kharkivska,"342,639","337,443","5,196",,2%,2% more IDPs this round,5%,5% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Khersonska,"27,794","27,794",,210,-1%,-1% fewer IDPs this round,0%,0% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Khmelnytska,"78,650","78,650",,561,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Kirovohradska,"89,310","89,310",,964,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Kyivska,"608,989","606,143","2,846",,0%,0% more IDPs this round,9%,9% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Lvivska,"231,618","231,618",,"1,434",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Mykolaivska,"118,636","118,496",140,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Odeska,"160,935","158,475","2,460",,2%,2% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Poltavska,"182,064","182,064",,"2,065",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Rivnenska,"51,038","51,038",,652,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Sumska,"85,190","84,803",387,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Ternopilska,"73,006","73,006",,668,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Vinnytska,"160,533","160,533",,"1,623",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Volynska,"50,055","50,055",,851,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Zakarpatska,"137,318","137,318",,"1,194",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Zaporizka,"163,509","161,381","2,128",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
28,Zhytomyrska,"62,706","62,706",,727,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Sep 1 2023-Sep 30 2023
29,Cherkaska,"129,508","129,508",,772,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Chernihivska,"70,050","70,050",,181,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Chernivetska,"82,450","82,450",,376,0%,0% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Dnipropetrovska,"390,682","390,307",375,,0%,0% more IDPs this round,6%,6% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Donetska,"95,766","93,007","2,759",,3%,3% more IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Ivano-Frankivska,"126,187","125,697",490,,0%,0% more IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Kharkivska,"348,040","342,639","5,401",,2%,2% more IDPs this round,5%,5% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Khersonska,"29,736","27,794","1,942",,7%,7% more IDPs this round,0%,0% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Khmelnytska,"75,443","75,443",,"3,207",-4%,-4% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Kirovohradska,"88,732","88,732",,578,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Kyivska,"618,403","608,989","9,414",,2%,2% more IDPs this round,9%,9% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Lvivska,"229,605","229,605",,"2,013",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Mykolaivska,"119,745","118,636","1,109",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Odeska,"163,061","160,935","2,126",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Poltavska,"180,486","180,486",,"1,578",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Rivnenska,"50,371","50,371",,667,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Sumska,"85,278","85,190",88,,0%,0% more IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Ternopilska,"72,348","72,348",,658,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Vinnytska,"159,196","159,196",,"1,337",-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Volynska,"49,152","49,152",,903,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Zakarpatska,"136,567","136,567",,751,-1%,-1% fewer IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Zaporizka,"165,127","163,509","1,618",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
29,Zhytomyrska,"61,798","61,798",,908,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Oct 1 2023-Oct 31 2023
30,Cherkaska,"128,863","128,863",,645,0%,0% fewer IDPs this round,2%,2% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Chernihivska,"69,679","69,679",,371,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
30,Chernivetska,"81,949","81,949",,501,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Nov 1 2023-Nov 30 2023
